[0210/140834.263:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/140852.923:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/140858.264:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/140931.586:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141202.778:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141313.785:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141337.784:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141356.779:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141429.791:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141526.777:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141629.765:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141653.765:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141710.767:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/141938.766:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142011.766:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142120.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142222.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142328.763:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142343.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142344.760:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142359.760:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142422.760:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142450.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142525.763:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142532.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142540.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/142901.768:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143008.758:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143019.760:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143037.760:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143049.767:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143408.763:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143411.763:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143517.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143634.769:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143647.766:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/143720.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144011.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144035.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144220.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144510.761:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144701.767:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144720.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144843.768:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/144853.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/145032.763:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/145205.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/145705.761:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0210/145716.761:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
